name,old_price,new_price,image
Etre exclusif Gilet - Homme - 8710 H22 -  Gris,82.00 TND,54.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/1905/1.jpg?3136
Pull - rouge- Homme  -  Sport chic  - Tissus vinisia,48.00 TND,25.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/1905/1.jpg?3136
Etre exclusif Pull - Homme -  Col cheminé - 9378 H22 - Marine,78.00 TND,44.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/5813/1.jpg?4205
barsha Pull over - Pour homme,39.90 TND,45.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/9215/1.jpg?2867
Talla Mode Pull col rond - Noir rouge,78.00 TND,32.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/5094/1.jpg?8428
barsha Pull over pour homme,78.00 TND,49.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/3393/1.jpg?8968
barsha Gilet homme black,88.00 TND,49.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/7715/1.jpg?6476
Etre exclusif Pull Homme - 9449 H19 - Noir - Unie,60.00 TND,54.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/3294/1.jpg?5228
Etre exclusif Pull - Homme -  9389 H22 - Col roulé -  Moutarde,79.99 TND,44.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/3125/1.jpg?5139
Etre exclusif Gilet - Homme - 8700 H18 - Rouge,79.90 TND,39.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/3115/1.jpg?8148
WHITELEAD Pull - Noir - La - Casa - De - Papel,54.99 TND,27.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/3815/1.jpg?8129
Exist Pullover - P00079 - Noir &amp; Gris,75.90 TND,54.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/5203/1.jpg?8267
